fips,obesity_pct,poverty_pct,median_income,no_hs_diploma
08125,28.4,0.162,61870,0.16222760290000005
13047,33.9,0.148,70315,0.10183128689999998
13225,39.3,0.253,68464,0.12330187140000004
13289,39.7,0.309,50700,0.22172172170000004
17031,31,0.172,80547,0.11661524950000002
19171,40.2,0.161,66288,0.08520639259999996
20197,35.1,0.102,69893,0.03719958199999995
27051,39.7,0.122,72935,0.05710982659999997
31045,35.5,0.173,54925,0.04300019629999996
31071,38.8,0.124,51135,0.04556166539999995
31135,40.7,0.116,71521,0.07341772150000003
31179,37.3,0.1,68309,0.048910056800000046
32021,38.4,0.226,58039,0.09273947530000004
37003,36.5,0.174,62976,0.14425335250000004
37083,42.6,0.416,48520,0.19092622120000002
37089,30.3,0.155,63765,0.0888376447
37137,36,0.254,61996,0.09969450099999999
37153,42.9,0.31,50242,0.15821521949999995
38033,37.6,0.155,59464,0.03445447089999998
39015,41.6,0.225,68289,0.12233676979999997
39017,39,0.133,80066,0.08817891879999995
39071,41.3,0.18,61760,0.1314759849
39095,36.1,0.242,60525,0.09033341770000003
39109,33.6,0.114,75735,0.07193413260000003
39145,44.7,0.241,52447,0.11310937899999995
40109,37.9,0.222,65979,0.11508127410000002
45029,39.3,0.336,48504,0.14434402550000003
45077,35.4,0.176,58480,0.1274817883
48333,33,0.224,56328,0.10521739129999996
48341,39,0.207,64003,0.2980707908
49057,34.7,0.095,86678,0.07653252320000004
51183,45.5,0.275,53020,0.15408843130000005
54069,40.1,0.173,59882,0.07397501439999998
01039,38.1,0.224,50119,0.138176046
05099,44,0.31,45562,0.09885795860000002
06061,27.2,0.061,110020,0.050752993000000024
01023,44.4,0.358,47432,0.1578128473
01081,39.9,0.149,62301,0.08574288959999998
01109,40.3,0.325,50675,0.12417321209999999
05043,45,0.278,48746,0.12864697300000005
02122,32.3,0.121,74185,0.056911335200000024
01025,44.2,0.287,50868,0.14731304020000002
05061,39.4,0.225,47308,0.10615786969999996
04021,38.4,0.124,77290,0.10873948519999999
05131,36.4,0.177,58112,0.1482072819
05047,39.8,0.237,54077,0.1292989418
01061,42.3,0.27,50006,0.16790553009999998
05147,39.2,0.348,43259,0.17083237790000005
01077,36.7,0.168,63895,0.10695969569999997
04001,36,0.357,43121,0.1507781414
02170,37.5,0.105,94376,0.0570681918
05139,39.4,0.24,49664,0.12043043580000001
01095,37.6,0.215,59882,0.15579248150000002
05041,46.6,0.356,43469,0.22111155540000005
06059,23.9,0.11,109768,0.13055937370000004
05109,38.3,0.272,53108,0.12889578339999996
06051,31.2,0.107,82973,0.1044559585
06003,28.7,0.268,83265,0.03735144310000005
01129,41,0.262,57311,0.11314956229999995
06011,35,0.142,66675,0.2680744452
06065,37,0.141,90251,0.16700060090000002
01133,39,0.24,52280,0.21233438859999998
05003,45.1,0.252,49560,0.12170447579999999
01007,43.7,0.214,56025,0.19659782810000004
01007,43.9,0.214,56025,0.19659782810000004
01091,43.2,0.331,47228,0.14382926070000002
05065,41.2,0.239,47320,0.15228764390000005
02290,36.9,0.248,49498,0.13365909740000004
05045,39.8,0.154,68543,0.06316124919999999
02198,37.7,0.221,57304,0.07540263540000003
05087,40.6,0.205,52262,0.14226011370000002
05095,43.7,0.381,40631,0.16568047340000003
04012,36.1,0.293,48801,0.1745108408
06043,30.5,0.219,64352,0.09528076460000001
01021,39.8,0.215,59165,0.15812924839999998
05009,40.7,0.187,56154,0.09275013170000002
06031,34.7,0.203,65768,0.25764822860000003
05079,42.8,0.248,53381,0.16743189469999997
05037,44.8,0.254,47669,0.16588132639999997
02050,39.4,0.362,62140,0.18072880859999996
02060,34.5,0.18,99790,0.05028735630000003
05049,39.6,0.249,46346,0.12271103169999997
04019,32.2,0.179,69553,0.10054136589999996
05093,46.7,0.311,49484,0.14390403829999998
01045,41.3,0.22,54697,0.1427642469
01029,37.1,0.217,59526,0.14602706929999998
04009,36,0.204,66469,0.1576185671
06001,22.8,0.09,119230,0.11100157830000001
01123,39.5,0.226,60583,0.16191148300000002
05115,44.6,0.16,59016,0.14021686749999995
02016,30.5,0.048,104159,0.09512879370000005
05031,39.6,0.231,60204,0.09745928159999995
01083,39,0.113,81811,0.12437495040000002
01047,46.5,0.465,39013,0.12941545460000003
02290,36.6,0.248,49498,0.13365909740000004
04009,36.3,0.204,66469,0.1576185671
06069,31.5,0.108,105112,0.16761795170000005
05049,39.7,0.249,46346,0.12271103169999997
01017,41.6,0.26,50390,0.16378042800000003
05045,41.1,0.154,68543,0.06316124919999999
01103,38.6,0.168,70387,0.14915445449999998
01029,37.4,0.217,59526,0.14602706929999998
04021,38.7,0.124,77290,0.10873948519999999
05075,44.1,0.245,49015,0.17615300150000002
01091,43.1,0.331,47228,0.14382926070000002
05099,44.1,0.31,45562,0.09885795860000002
06005,29.6,0.139,80767,0.0903273443
02275,35,0.151,65011,0.09768976900000004
02050,39.1,0.362,62140,0.18072880859999996
05055,42.3,0.191,55444,0.1260205552
05095,43.5,0.381,40631,0.16568047340000003
04012,33.2,0.293,48801,0.1745108408
06037,26.4,0.176,86499,0.19336848880000002
06017,27.7,0.078,107063,0.05083479049999995
05047,39.8,0.237,54077,0.1292989418
06019,37.7,0.233,71271,0.21403075169999997
05145,39.7,0.196,56178,0.13252350020000003
05009,40.8,0.187,56154,0.09275013170000002
06001,22.5,0.09,119230,0.11100157830000001
01129,41.1,0.262,57311,0.11314956229999995
01039,37.9,0.224,50119,0.138176046
05057,45.6,0.258,50576,0.16568405139999998
05109,38.2,0.272,53108,0.12889578339999996
06047,33.8,0.227,58962,0.28110749570000004
05117,40.3,0.224,54962,0.14076196900000004
02185,42.3,0.142,103556,0.09819227610000003
04005,25.3,0.209,71528,0.08025480620000003
05089,37.8,0.26,49975,0.1368768723
02066,33.1,0.201,69092,0.09016838670000005
06043,30.9,0.219,64352,0.09528076460000001
06059,23.9,0.11,109768,0.13055937370000004
06037,26.5,0.176,86499,0.19336848880000002
05027,39.9,0.278,44175,0.11536277149999996
05055,42.3,0.191,55444,0.1260205552
01085,51.3,0.421,42011,0.16773824829999995
05051,39.1,0.294,53849,0.09105369969999999
